card_set,card_rarity,card_name,card_index,card_price,created_time
eb01,P-L,光月おでん(パラレル),EB01-001,980,2025-04-20 04:23:33
eb01,P-R,キッド&キラー(パラレル),EB01-003,980,2025-04-20 04:23:38
eb01,P-SR,トニートニー・チョッパー(パラレル),EB01-006,1280,2025-04-20 04:23:42
eb01,P-SR,トニートニー・チョッパー(パラレル)(スーパーパラレル),EB01-006,59800,2025-04-20 04:23:46
eb01,P-SR,キャベンディッシュ(パラレル),EB01-012,1280,2025-04-20 04:23:50
eb01,P-R,光月日和(パラレル),EB01-013,780,2025-04-20 04:23:54
eb01,P-L,ハンニャバル(パラレル),EB01-021,780,2025-04-20 04:23:58
eb01,P-SR,イナズマ(パラレル),EB01-022,780,2025-04-20 04:24:02
eb01,P-R,Mr.1(ダズ・ボーネス)(パラレル),EB01-027,780,2025-04-20 04:24:06
eb01,P-R,カリファ(パラレル),EB01-031,780,2025-04-20 04:24:11
eb01,P-SR,ミス・ウェンズデー(パラレル),EB01-034,780,2025-04-20 04:24:15
eb01,P-L,キュロス(パラレル),EB01-040,780,2025-04-20 04:24:19
eb01,P-SR,ブルック(パラレル),EB01-046,1480,2025-04-20 04:24:23
eb01,P-SR,ラブーン(パラレル),EB01-048,980,2025-04-20 04:24:27
eb01,P-R,Tボーン(パラレル),EB01-049,780,2025-04-20 04:24:31
eb01,P-SR,ヴィオラ(パラレル),EB01-052,780,2025-04-20 04:24:36
eb01,P-R,シャーロット・フランペ(パラレル),EB01-056,1280,2025-04-20 04:24:41
eb01,P-SR,しらほし(パラレル),EB01-057,1480,2025-04-20 04:24:46
eb01,SEC,Mr.2・ボン・クレー(ベンサム),EB01-061,2480,2025-04-20 04:24:50
eb01,P-SEC,Mr.2・ボン・クレー(ベンサム)(パラレル),EB01-061,4980,2025-04-20 04:24:53
eb02,P-R,トニートニー・チョッパー(パラレル),EB02-003,780,2025-04-20 04:25:01
eb02,P-SR,ヤマト(パラレル),EB02-006,780,2025-04-20 04:25:05
eb02,P-L,モンキー・D・ルフィ(パラレル),EB02-010,14800,2025-04-20 04:25:13
eb02,P-SR,アーロン(パラレル),EB02-011,780,2025-04-20 04:25:17
eb02,P-SR,ジュエリー・ボニー(パラレル),EB02-015,780,2025-04-20 04:25:25
eb02,P-R,ナミ(パラレル),EB02-017,2480,2025-04-20 04:25:29
eb02,P-R,ウソップ(パラレル),EB02-022,780,2025-04-20 04:25:33
eb02,P-SR,ネフェルタリ・ビビ(パラレル),EB02-026,1780,2025-04-20 04:25:37
eb02,P-SR,サンジ&プリン(パラレル),EB02-035,2980,2025-04-20 04:25:54
eb02,P-R,ニコ・ロビン(パラレル),EB02-036,980,2025-04-20 04:25:58
eb02,P-SR,センゴク(パラレル),EB02-044,980,2025-04-20 04:26:12
eb02,P-SR,トラファルガー・ロー(パラレル),EB02-045,780,2025-04-20 04:26:20
eb02,P-R,ブルック(パラレル),EB02-048,780,2025-04-20 04:26:24
eb02,P-SR,エネル(パラレル),EB02-052,1480,2025-04-20 04:26:28
eb02,P-R,サンジ(パラレル),EB02-054,980,2025-04-20 04:26:36
eb02,P-SR,ベガパンク(パラレル),EB02-056,780,2025-04-20 04:26:44
eb02,SEC,モンキー・D・ルフィ,EB02-061,2980,2025-04-20 04:27:01
eb02,P-SEC,モンキー・D・ルフィ(パラレル),EB02-061,3980,2025-04-20 04:27:05
eb02,P-SEC,モンキー・D・ルフィ(パラレル)(スーパーパラレル),EB02-061,99800,2025-04-20 04:27:09
eb02,DON,ドンカード(村の少年モンキー・D・ルフィ),,50,2025-04-20 04:27:13
eb02,P-L,サボ(パラレル/箔押し),OP05-001,2980,2025-04-20 04:27:17
eb02,P-L,ベロ・ベティ(パラレル/箔押し),OP05-002,4980,2025-04-20 04:27:20
eb02,P-L,ドンキホーテ・ロシナンテ(パラレル/箔押し),OP05-022,3480,2025-04-20 04:27:25
eb02,P-L,モンキー・D・ルフィ(パラレル/箔押し),OP05-060,5980,2025-04-20 04:27:29
eb02,P-L,エネル(パラレル/箔押し),OP05-098,5980,2025-04-20 04:27:33
eb02,P-L,ウタ(パラレル/箔押し),OP06-001,7980,2025-04-20 04:27:38
eb02,P-L,ホーディ・ジョーンズ(パラレル/箔押し),OP06-020,1780,2025-04-20 04:27:42
eb02,P-L,ペローナ(パラレル/箔押し),OP06-021,4980,2025-04-20 04:27:46
eb02,P-L,ヤマト(パラレル/箔押し),OP06-022,4980,2025-04-20 04:27:49
eb02,P-L,ヴィンスモーク・レイジュ(パラレル/箔押し),OP06-042,6980,2025-04-20 04:27:53
eb02,P-L,ゲッコー・モリア(パラレル/箔押し),OP06-080,2980,2025-04-20 04:27:58
eb02,P-L,モンキー・D・ドラゴン(パラレル/箔押し),OP07-001,1980,2025-04-20 04:28:01
eb02,P-L,ジュエリー・ボニー(パラレル/箔押し),OP07-019,5980,2025-04-20 04:28:06
eb02,P-L,ボア・ハンコック(パラレル/箔押し),OP07-038,17800,2025-04-20 04:28:09
eb02,P-L,フォクシー(パラレル/箔押し),OP07-059,1980,2025-04-20 04:28:14
eb02,P-L,ロブ・ルッチ(パラレル/箔押し),OP07-079,3980,2025-04-20 04:28:18
eb02,P-L,ベガパンク(パラレル/箔押し),OP07-097,1980,2025-04-20 04:28:21
eb02,P-L,トニートニー・チョッパー(パラレル/箔押し),OP08-001,3480,2025-04-20 04:28:26
eb02,P-L,マルコ(パラレル/箔押し),OP08-002,3980,2025-04-20 04:28:30
eb02,P-L,キャロット(パラレル/箔押し),OP08-021,2480,2025-04-20 04:28:33
eb02,P-L,キング(パラレル/箔押し),OP08-057,2980,2025-04-20 04:28:38
eb02,P-L,シャーロット・プリン(パラレル/箔押し),OP08-058,4980,2025-04-20 04:28:42
eb02,P-L,カルガラ(パラレル/箔押し),OP08-098,2480,2025-04-20 04:28:45
eb02,P-L,光月おでん(パラレル/箔押し),EB01-001,2480,2025-04-20 04:28:50
eb02,P-L,ハンニャバル(パラレル/箔押し),EB01-021,1780,2025-04-20 04:28:53
eb02,P-L,キュロス(パラレル/箔押し),EB01-040,1780,2025-04-20 04:28:58
op01,P-L,ロロノア・ゾロ(パラレル),OP01-001,9980,2025-04-20 04:29:02
op01,P-L,トラファルガー・ロー(パラレル),OP01-002,7980,2025-04-20 04:29:06
op01,P-L,モンキー・D・ルフィ(パラレル),OP01-003,6980,2025-04-20 04:29:10
op01,P-R,サンジ(パラレル),OP01-013,1480,2025-04-20 04:29:14
op01,P-R,ナミ(パラレル),OP01-016,7980,2025-04-20 04:29:18
op01,P-SR,モンキー・D・ルフィ(パラレル),OP01-024,980,2025-04-20 04:29:22
op01,P-SR,ロロノア・ゾロ(パラレル),OP01-025,2980,2025-04-20 04:29:25
op01,P-L,光月おでん(パラレル),OP01-031,1480,2025-04-20 04:29:29
op01,P-SR,錦えもん(パラレル),OP01-040,780,2025-04-20 04:29:33
op01,P-SR,トラファルガー・ロー(パラレル),OP01-047,1280,2025-04-20 04:29:37
op01,P-SR,ユースタス・キッド(パラレル),OP01-051,1980,2025-04-20 04:29:41
op01,P-L,ドンキホーテ・ドフラミンゴ(パラレル),OP01-060,4980,2025-04-20 04:29:45
op01,P-L,カイドウ(パラレル),OP01-061,1480,2025-04-20 04:29:49
op01,P-L,クロコダイル(パラレル),OP01-062,1980,2025-04-20 04:29:53
op01,P-SR,クロコダイル(パラレル),OP01-067,780,2025-04-20 04:29:57
op01,P-SR,ジュラキュール・ミホーク(パラレル),OP01-070,1280,2025-04-20 04:30:02
op01,P-R,ドンキホーテ・ドフラミンゴ(パラレル),OP01-073,780,2025-04-20 04:30:07
op01,P-SR,ボア・ハンコック(パラレル),OP01-078,2480,2025-04-20 04:30:11
op01,P-L,キング(パラレル),OP01-091,1280,2025-04-20 04:30:16
op01,P-R,うるティ(パラレル),OP01-093,780,2025-04-20 04:30:20
op01,P-SR,カイドウ(パラレル),OP01-094,780,2025-04-20 04:30:24
op01,P-SR,キング(パラレル),OP01-096,780,2025-04-20 04:30:28
op01,P-R,クイーン(パラレル),OP01-097,780,2025-04-20 04:30:32
op01,P-R,ジャック(パラレル),OP01-102,780,2025-04-20 04:30:36
op01,SEC,シャンクス(刻印なし),OP01-120,220,2025-04-20 04:30:40
op01,P-SEC,シャンクス(パラレル),OP01-120,980,2025-04-20 04:30:44
op01,P-SEC,シャンクス(パラレル)(スーパーパラレル)(刻印なし),OP01-120,59800,2025-04-20 04:30:48
op01,SEC,ヤマト(刻印なし),OP01-121,220,2025-04-20 04:30:52
op01,P-SEC,ヤマト(パラレル),OP01-121,1980,2025-04-20 04:30:56
op02,P-L,エドワード・ニューゲート(パラレル),OP02-001,1980,2025-04-20 04:31:00
op02,P-L,モンキー・D・ガープ(パラレル),OP02-002,2480,2025-04-20 04:31:03
op02,P-SR,エドワード・ニューゲート(パラレル),OP02-004,780,2025-04-20 04:31:08
op02,P-SR,ポートガス・D・エース(パラレル),OP02-013,1980,2025-04-20 04:31:11
op02,P-SR,ポートガス・D・エース(パラレル)(スーパーパラレル)(刻印なし),OP02-013,99800,2025-04-20 04:31:15
op02,P-R,マスクド・デュース(パラレル),OP02-017,780,2025-04-20 04:31:19
op02,P-R,マルコ(パラレル),OP02-018,780,2025-04-20 04:31:23
op02,P-L,錦えもん(パラレル),OP02-025,980,2025-04-20 04:31:27
op02,P-L,サンジ(パラレル),OP02-026,2980,2025-04-20 04:31:32
op02,P-SR,光月おでん(パラレル),OP02-030,780,2025-04-20 04:31:36
op02,P-SR,ナミ(パラレル),OP02-036,780,2025-04-20 04:31:40
op02,P-R,モンキー・Ｄ・ルフィ(パラレル),OP02-041,780,2025-04-20 04:31:44
op02,P-L,エンポリオ・イワンコフ(パラレル),OP02-049,1280,2025-04-20 04:31:49
op02,P-SR,エンポリオ・イワンコフ(パラレル),OP02-051,780,2025-04-20 04:31:53
op02,P-R,バギー(パラレル),OP02-058,780,2025-04-20 04:31:56
op02,P-SR,モンキー・Ｄ・ルフィ(パラレル),OP02-062,780,2025-04-20 04:32:01
op02,P-L,マゼラン(パラレル),OP02-071,980,2025-04-20 04:32:04
op02,P-L,ゼット(パラレル),OP02-072,1780,2025-04-20 04:32:09
op02,P-R,サディちゃん(パラレル),OP02-073,780,2025-04-20 04:32:14
op02,P-SR,マゼラン(パラレル),OP02-085,780,2025-04-20 04:32:18
op02,P-L,スモーカー(パラレル),OP02-093,2480,2025-04-20 04:32:22
op02,P-SR,クザン(パラレル),OP02-096,1280,2025-04-20 04:32:26
op02,P-SR,サカズキ(パラレル),OP02-099,780,2025-04-20 04:32:30
op02,P-SR,ボルサリーノ(パラレル),OP02-114,780,2025-04-20 04:32:36
op02,P-R,モンキー・D・ガープ(パラレル),OP02-115,780,2025-04-20 04:32:40
op02,SEC,ウタ,OP02-120,420,2025-04-20 04:32:45
op02,P-SEC,ウタ(パラレル),OP02-120,1480,2025-04-20 04:32:49
op02,SEC,クザン(刻印なし),OP02-121,320,2025-04-20 04:32:53
op02,P-SEC,クザン(パラレル),OP02-121,980,2025-04-20 04:32:58
op03,P-L,ポートガス・D・エース(パラレル),OP03-001,2980,2025-04-20 04:33:03
op03,P-SR,マルコ(パラレル),OP03-013,980,2025-04-20 04:33:07
op03,P-R,火拳(パラレル),OP03-018,980,2025-04-20 04:33:12
op03,P-L,クロ(パラレル),OP03-021,980,2025-04-20 04:33:16
op03,P-L,アーロン(パラレル),OP03-022,1480,2025-04-20 04:33:20
op03,P-R,ギン(パラレル),OP03-024,780,2025-04-20 04:33:25
op03,P-SR,クリーク(パラレル),OP03-025,780,2025-04-20 04:33:28
op03,P-L,ナミ(パラレル),OP03-040,12800,2025-04-20 04:33:32
op03,P-SR,ウソップ(パラレル),OP03-041,780,2025-04-20 04:33:36
op03,P-R,ゼフ(パラレル),OP03-047,780,2025-04-20 04:33:40
op03,P-L,アイスバーグ(パラレル),OP03-058,980,2025-04-20 04:33:44
op03,P-SR,パウリー(パラレル),OP03-066,780,2025-04-20 04:33:48
op03,P-L,ロブ・ルッチ(パラレル),OP03-076,980,2025-04-20 04:33:52
op03,P-L,シャーロット・リンリン(パラレル),OP03-077,1280,2025-04-20 04:33:56
op03,P-SR,イッショウ(パラレル),OP03-078,780,2025-04-20 04:34:00
op03,P-SR,カク(パラレル),OP03-080,980,2025-04-20 04:34:04
op03,P-R,カリファ(パラレル),OP03-081,1780,2025-04-20 04:34:08
op03,P-R,スパンダム(パラレル),OP03-086,780,2025-04-20 04:34:12
op03,P-SR,ロブ・ルッチ(パラレル),OP03-092,780,2025-04-20 04:34:17
op03,P-L,シャーロット・カタクリ(パラレル),OP03-099,3980,2025-04-20 04:34:21
op03,P-SR,シャーロット・クラッカー(パラレル),OP03-108,780,2025-04-20 04:34:26
op03,P-R,シャーロット・プリン(パラレル),OP03-112,1780,2025-04-20 04:34:30
op03,P-SR,シャーロット・ペロスペロー(パラレル),OP03-113,780,2025-04-20 04:34:34
op03,P-SR,シャーロット・リンリン(パラレル),OP03-114,1280,2025-04-20 04:34:39
op03,SEC,そげキング,OP03-122,320,2025-04-20 04:34:45
op03,P-SEC,そげキング(パラレル),OP03-122,780,2025-04-20 04:34:49
op03,P-SEC,そげキング(パラレル)(スーパーパラレル)(刻印なし),OP03-122,39800,2025-04-20 04:34:53
op03,SEC,シャーロット・カタクリ(刻印なし),OP03-123,320,2025-04-20 04:34:57
op03,P-SEC,シャーロット・カタクリ(パラレル),OP03-123,2480,2025-04-20 04:35:01
op03,SP,ユースタス・キッド(パラレル),OP01-051,2980,2025-04-20 04:35:05
op03,SP,モンキー・D・ルフィ(パラレル),ST01-012,17800,2025-04-20 04:35:09
op03,SP,ドンキホーテ・ドフラミンゴ(パラレル),ST03-009,1980,2025-04-20 04:35:12
op03,SP,カイドウ(パラレル),ST04-003,1980,2025-04-20 04:35:17
op04,P-L,ネフェルタリ・ビビ(パラレル),OP04-001,4980,2025-04-20 04:35:21
op04,P-SR,ペル(パラレル),OP04-013,980,2025-04-20 04:35:25
op04,P-L,ドンキホーテ・ドフラミンゴ(パラレル),OP04-019,1980,2025-04-20 04:35:29
op04,P-L,イッショウ(パラレル),OP04-020,780,2025-04-20 04:35:33
op04,P-SR,シュガー(パラレル),OP04-024,780,2025-04-20 04:35:37
op04,P-R,ディアマンテ(パラレル),OP04-028,780,2025-04-20 04:35:41
op04,P-R,トレーボル(パラレル),OP04-030,780,2025-04-20 04:35:45
op04,P-SR,ドンキホーテ・ドフラミンゴ(パラレル),OP04-031,1280,2025-04-20 04:35:50
op04,P-L,レベッカ(パラレル),OP04-039,2980,2025-04-20 04:35:55
op04,P-L,クイーン(パラレル),OP04-040,780,2025-04-20 04:35:59
op04,P-SR,カイドウ(パラレル),OP04-044,780,2025-04-20 04:36:03
op04,P-R,フーズ・フー(パラレル),OP04-051,780,2025-04-20 04:36:11
op04,P-L,クロコダイル(パラレル),OP04-058,1480,2025-04-20 04:36:16
op04,P-SR,クロコダイル(パラレル),OP04-060,780,2025-04-20 04:36:20
