card_set,card_rarity,card_name,card_index,card_price,created_time
eb01,P-L,光月おでん(パラレル),EB01-001,980,2025-04-01 22:47:20
eb01,P-R,キッド&キラー(パラレル),EB01-003,980,2025-04-01 22:47:23
eb01,P-SR,トニートニー・チョッパー(パラレル),EB01-006,1280,2025-04-01 22:47:28
eb01,P-SR,トニートニー・チョッパー(パラレル)(スーパーパラレル),EB01-006,79800,2025-04-01 22:47:31
eb01,P-SR,キャベンディッシュ(パラレル),EB01-012,1280,2025-04-01 22:47:35
eb01,P-R,光月日和(パラレル),EB01-013,780,2025-04-01 22:47:39
eb01,P-L,ハンニャバル(パラレル),EB01-021,980,2025-04-01 22:47:43
eb01,P-SR,イナズマ(パラレル),EB01-022,780,2025-04-01 22:47:47
eb01,P-R,Mr.1(ダズ・ボーネス)(パラレル),EB01-027,980,2025-04-01 22:47:51
eb01,P-R,カリファ(パラレル),EB01-031,780,2025-04-01 22:47:55
eb01,P-SR,ミス・ウェンズデー(パラレル),EB01-034,780,2025-04-01 22:47:59
eb01,P-L,キュロス(パラレル),EB01-040,980,2025-04-01 22:48:02
eb01,P-SR,ブルック(パラレル),EB01-046,1280,2025-04-01 22:48:05
eb01,P-SR,ラブーン(パラレル),EB01-048,980,2025-04-01 22:48:09
eb01,P-R,Tボーン(パラレル),EB01-049,780,2025-04-01 22:48:12
eb01,P-SR,ヴィオラ(パラレル),EB01-052,780,2025-04-01 22:48:16
eb01,P-R,シャーロット・フランペ(パラレル),EB01-056,1780,2025-04-01 22:48:20
eb01,P-SR,しらほし(パラレル),EB01-057,2480,2025-04-01 22:48:23
eb01,SEC,Mr.2・ボン・クレー(ベンサム),EB01-061,2980,2025-04-01 22:48:27
eb01,P-SEC,Mr.2・ボン・クレー(ベンサム)(パラレル),EB01-061,5980,2025-04-01 22:48:30
eb02,P-R,トニートニー・チョッパー(パラレル),EB02-003,780,2025-04-01 22:48:37
eb02,P-SR,ヤマト(パラレル),EB02-006,1280,2025-04-01 22:48:40
eb02,P-L,モンキー・D・ルフィ(パラレル),EB02-010,14800,2025-04-01 22:48:43
eb02,P-SR,アーロン(パラレル),EB02-011,780,2025-04-01 22:48:47
eb02,P-SR,ジュエリー・ボニー(パラレル),EB02-015,1280,2025-04-01 22:48:52
eb02,P-R,ナミ(パラレル),EB02-017,2480,2025-04-01 22:48:56
eb02,P-R,ウソップ(パラレル),EB02-022,780,2025-04-01 22:48:59
eb02,P-SR,ネフェルタリ・ビビ(パラレル),EB02-026,2480,2025-04-01 22:49:07
eb02,P-SR,サンジ&プリン(パラレル),EB02-035,3480,2025-04-01 22:49:14
eb02,P-R,ニコ・ロビン(パラレル),EB02-036,1480,2025-04-01 22:49:18
eb02,P-SR,センゴク(パラレル),EB02-044,1480,2025-04-01 22:49:26
eb02,P-SR,トラファルガー・ロー(パラレル),EB02-045,980,2025-04-01 22:49:30
eb02,P-R,ブルック(パラレル),EB02-048,780,2025-04-01 22:49:33
eb02,P-SR,エネル(パラレル),EB02-052,1980,2025-04-01 22:49:36
eb02,P-R,サンジ(パラレル),EB02-054,1280,2025-04-01 22:49:40
eb02,P-SR,ベガパンク(パラレル),EB02-056,980,2025-04-01 22:49:43
eb02,SEC,モンキー・D・ルフィ,EB02-061,2980,2025-04-01 22:49:47
eb02,P-SEC,モンキー・D・ルフィ(パラレル),EB02-061,4980,2025-04-01 22:49:51
eb02,P-SEC,モンキー・D・ルフィ(パラレル)(スーパーパラレル),EB02-061,128000,2025-04-01 22:49:55
eb02,P-L,サボ(パラレル/箔押し),OP05-001,2980,2025-04-01 22:49:58
eb02,P-L,ベロ・ベティ(パラレル/箔押し),OP05-002,3980,2025-04-01 22:50:02
eb02,P-L,ドンキホーテ・ロシナンテ(パラレル/箔押し),OP05-022,3980,2025-04-01 22:50:06
eb02,P-L,モンキー・D・ルフィ(パラレル/箔押し),OP05-060,7980,2025-04-01 22:50:10
eb02,P-L,エネル(パラレル/箔押し),OP05-098,9980,2025-04-01 22:50:14
eb02,P-L,ウタ(パラレル/箔押し),OP06-001,9980,2025-04-01 22:50:18
eb02,P-L,ホーディ・ジョーンズ(パラレル/箔押し),OP06-020,1980,2025-04-01 22:50:22
eb02,P-L,ペローナ(パラレル/箔押し),OP06-021,4980,2025-04-01 22:50:26
eb02,P-L,ヤマト(パラレル/箔押し),OP06-022,7980,2025-04-01 22:50:29
eb02,P-L,ヴィンスモーク・レイジュ(パラレル/箔押し),OP06-042,7980,2025-04-01 22:50:33
eb02,P-L,ゲッコー・モリア(パラレル/箔押し),OP06-080,3980,2025-04-01 22:50:37
eb02,P-L,モンキー・D・ドラゴン(パラレル/箔押し),OP07-001,1980,2025-04-01 22:50:41
eb02,P-L,ジュエリー・ボニー(パラレル/箔押し),OP07-019,7980,2025-04-01 22:50:44
eb02,P-L,ボア・ハンコック(パラレル/箔押し),OP07-038,24800,2025-04-01 22:50:48
eb02,P-L,フォクシー(パラレル/箔押し),OP07-059,2980,2025-04-01 22:50:51
eb02,P-L,ロブ・ルッチ(パラレル/箔押し),OP07-079,3980,2025-04-01 22:50:55
eb02,P-L,ベガパンク(パラレル/箔押し),OP07-097,2480,2025-04-01 22:50:59
eb02,P-L,トニートニー・チョッパー(パラレル/箔押し),OP08-001,3980,2025-04-01 22:51:03
eb02,P-L,マルコ(パラレル/箔押し),OP08-002,4980,2025-04-01 22:51:07
eb02,P-L,キャロット(パラレル/箔押し),OP08-021,2980,2025-04-01 22:51:10
eb02,P-L,キング(パラレル/箔押し),OP08-057,2980,2025-04-01 22:51:15
eb02,P-L,シャーロット・プリン(パラレル/箔押し),OP08-058,5980,2025-04-01 22:51:19
eb02,P-L,カルガラ(パラレル/箔押し),OP08-098,2480,2025-04-01 22:51:25
eb02,P-L,光月おでん(パラレル/箔押し),EB01-001,3480,2025-04-01 22:51:29
eb02,P-L,ハンニャバル(パラレル/箔押し),EB01-021,1980,2025-04-01 22:51:32
eb02,P-L,キュロス(パラレル/箔押し),EB01-040,1980,2025-04-01 22:51:36
op01,P-L,ロロノア・ゾロ(パラレル),OP01-001,14800,2025-04-01 22:51:40
op01,P-L,トラファルガー・ロー(パラレル),OP01-002,9980,2025-04-01 22:51:43
op01,P-L,モンキー・D・ルフィ(パラレル),OP01-003,9980,2025-04-01 22:51:47
op01,P-R,サンジ(パラレル),OP01-013,1480,2025-04-01 22:51:51
op01,P-R,ナミ(パラレル),OP01-016,9980,2025-04-01 22:51:55
op01,P-SR,モンキー・D・ルフィ(パラレル),OP01-024,1280,2025-04-01 22:51:59
op01,P-SR,ロロノア・ゾロ(パラレル),OP01-025,2980,2025-04-01 22:52:04
op01,P-L,光月おでん(パラレル),OP01-031,1780,2025-04-01 22:52:07
op01,P-SR,錦えもん(パラレル),OP01-040,780,2025-04-01 22:52:11
op01,P-SR,トラファルガー・ロー(パラレル),OP01-047,1480,2025-04-01 22:52:15
op01,P-SR,ユースタス・キッド(パラレル),OP01-051,2480,2025-04-01 22:52:18
op01,P-L,ドンキホーテ・ドフラミンゴ(パラレル),OP01-060,4980,2025-04-01 22:52:22
op01,P-L,カイドウ(パラレル),OP01-061,2480,2025-04-01 22:52:25
op01,P-L,クロコダイル(パラレル),OP01-062,2980,2025-04-01 22:52:28
op01,P-SR,クロコダイル(パラレル),OP01-067,780,2025-04-01 22:52:33
op01,P-SR,ジュラキュール・ミホーク(パラレル),OP01-070,1280,2025-04-01 22:52:37
op01,P-R,ドンキホーテ・ドフラミンゴ(パラレル),OP01-073,1280,2025-04-01 22:52:41
op01,P-SR,ボア・ハンコック(パラレル),OP01-078,1980,2025-04-01 22:52:45
op01,P-L,キング(パラレル),OP01-091,1480,2025-04-01 22:52:49
op01,P-R,うるティ(パラレル),OP01-093,980,2025-04-01 22:52:53
op01,P-SR,カイドウ(パラレル),OP01-094,980,2025-04-01 22:52:57
op01,P-SR,キング(パラレル),OP01-096,780,2025-04-01 22:53:01
op01,P-R,クイーン(パラレル),OP01-097,780,2025-04-01 22:53:04
op01,P-R,ジャック(パラレル),OP01-102,780,2025-04-01 22:53:08
op01,SEC,シャンクス(刻印なし),OP01-120,320,2025-04-01 22:53:11
op01,P-SEC,シャンクス(パラレル),OP01-120,1480,2025-04-01 22:53:15
op01,P-SEC,シャンクス(パラレル)(スーパーパラレル)(刻印なし),OP01-120,69800,2025-04-01 22:53:18
op01,SEC,ヤマト(刻印なし),OP01-121,320,2025-04-01 22:53:22
op01,P-SEC,ヤマト(パラレル),OP01-121,2980,2025-04-01 22:53:26
op02,P-L,エドワード・ニューゲート(パラレル),OP02-001,2480,2025-04-01 22:53:30
op02,P-L,モンキー・D・ガープ(パラレル),OP02-002,2980,2025-04-01 22:53:34
op02,P-SR,エドワード・ニューゲート(パラレル),OP02-004,1280,2025-04-01 22:53:38
op02,P-SR,ポートガス・D・エース(パラレル),OP02-013,2980,2025-04-01 22:53:42
op02,P-SR,ポートガス・D・エース(パラレル)(スーパーパラレル)(刻印なし),OP02-013,128000,2025-04-01 22:53:45
op02,P-R,マスクド・デュース(パラレル),OP02-017,780,2025-04-01 22:53:49
op02,P-R,マルコ(パラレル),OP02-018,780,2025-04-01 22:53:53
op02,P-L,錦えもん(パラレル),OP02-025,1280,2025-04-01 22:53:56
op02,P-L,サンジ(パラレル),OP02-026,2980,2025-04-01 22:54:00
op02,P-SR,光月おでん(パラレル),OP02-030,780,2025-04-01 22:54:04
op02,P-SR,ナミ(パラレル),OP02-036,1480,2025-04-01 22:54:08
op02,P-R,モンキー・Ｄ・ルフィ(パラレル),OP02-041,1480,2025-04-01 22:54:12
op02,P-L,エンポリオ・イワンコフ(パラレル),OP02-049,1780,2025-04-01 22:54:15
op02,P-SR,エンポリオ・イワンコフ(パラレル),OP02-051,780,2025-04-01 22:54:19
op02,P-R,バギー(パラレル),OP02-058,980,2025-04-01 22:54:23
op02,P-SR,モンキー・Ｄ・ルフィ(パラレル),OP02-062,980,2025-04-01 22:54:27
op02,P-L,マゼラン(パラレル),OP02-071,1280,2025-04-01 22:54:31
op02,P-L,ゼット(パラレル),OP02-072,1780,2025-04-01 22:54:34
op02,P-R,サディちゃん(パラレル),OP02-073,780,2025-04-01 22:54:37
op02,P-SR,マゼラン(パラレル),OP02-085,780,2025-04-01 22:54:41
op02,P-L,スモーカー(パラレル),OP02-093,3980,2025-04-01 22:54:45
op02,P-SR,クザン(パラレル),OP02-096,1780,2025-04-01 22:54:48
op02,P-SR,サカズキ(パラレル),OP02-099,980,2025-04-01 22:54:52
op02,P-SR,ボルサリーノ(パラレル),OP02-114,1280,2025-04-01 22:54:56
op02,P-R,モンキー・D・ガープ(パラレル),OP02-115,980,2025-04-01 22:54:59
op02,SEC,ウタ,OP02-120,500,2025-04-01 22:55:04
op02,P-SEC,ウタ(パラレル),OP02-120,1980,2025-04-01 22:55:07
op02,SEC,クザン(刻印なし),OP02-121,420,2025-04-01 22:55:11
op02,P-SEC,クザン(パラレル),OP02-121,980,2025-04-01 22:55:15
op03,P-L,ポートガス・D・エース(パラレル),OP03-001,3980,2025-04-01 22:55:19
op03,P-SR,マルコ(パラレル),OP03-013,1280,2025-04-01 22:55:23
op03,P-R,火拳(パラレル),OP03-018,980,2025-04-01 22:55:27
op03,P-L,クロ(パラレル),OP03-021,1280,2025-04-01 22:55:31
op03,P-L,アーロン(パラレル),OP03-022,2480,2025-04-01 22:55:35
op03,P-R,ギン(パラレル),OP03-024,780,2025-04-01 22:55:39
op03,P-SR,クリーク(パラレル),OP03-025,780,2025-04-01 22:55:43
op03,P-L,ナミ(パラレル),OP03-040,14800,2025-04-01 22:55:46
op03,P-SR,ウソップ(パラレル),OP03-041,780,2025-04-01 22:55:50
op03,P-R,ゼフ(パラレル),OP03-047,780,2025-04-01 22:55:53
op03,P-L,アイスバーグ(パラレル),OP03-058,1280,2025-04-01 22:55:57
op03,P-SR,パウリー(パラレル),OP03-066,780,2025-04-01 22:56:01
op03,P-L,ロブ・ルッチ(パラレル),OP03-076,1280,2025-04-01 22:56:05
op03,P-L,シャーロット・リンリン(パラレル),OP03-077,1780,2025-04-01 22:56:09
op03,P-SR,イッショウ(パラレル),OP03-078,780,2025-04-01 22:56:14
