card_set,card_rarity,card_name,card_index,card_price,created_time
s12a,AR,ヒスイビリリダマ,173/172,220,2025-04-24 01:11:03
s12a,AR,コロトック,174/172,220,2025-04-24 01:11:07
s12a,AR,オドリドリ,176/172,320,2025-04-24 01:12:42
s12a,AR,ラプラス,177/172,500,2025-04-24 01:12:46
s12a,AR,マナフィ,178/172,420,2025-04-24 01:12:49
s12a,AR,ケルディオ,179/172,420,2025-04-24 01:12:53
s12a,AR,エレキブル,180/172,320,2025-04-24 01:12:57
s12a,AR,ストリンダー,181/172,220,2025-04-24 01:13:01
s12a,AR,ガラルフリーザー,182/172,420,2025-04-24 01:13:05
s12a,AR,ミュウ,183/172,2480,2025-04-24 01:13:09
s12a,AR,ルナトーン,184/172,320,2025-04-24 01:13:14
s12a,AR,デオキシス,185/172,680,2025-04-24 01:13:18
s12a,AR,ディアンシー,186/172,320,2025-04-24 01:13:25
s12a,AR,キュワワー,187/172,220,2025-04-24 01:13:28
s12a,AR,ガラルサンダー,188/172,420,2025-04-24 01:13:32
s12a,AR,ソルロック,189/172,220,2025-04-24 01:13:37
s12a,AR,ガラルファイヤー,190/172,680,2025-04-24 01:13:40
s12a,AR,アブソル,191/172,420,2025-04-24 01:13:44
s12a,AR,フォクスライ,192/172,320,2025-04-24 01:13:48
s12a,AR,ジバコイル,193/172,320,2025-04-24 01:14:37
s12a,AR,チルタリス,194/172,320,2025-04-24 01:15:27
s12a,AR,ラティアス,195/172,780,2025-04-24 01:15:30
s12a,AR,ヒスイヌメルゴン,196/172,320,2025-04-24 01:15:42
s12a,AR,メタモン,197/172,320,2025-04-24 01:16:17
s12a,AR,ノコッチ,198/172,320,2025-04-24 01:16:52
s12a,AR,ミルタンク,199/172,320,2025-04-24 01:16:56
s12a,AR,ビーダル,200/172,320,2025-04-24 01:16:59
s12a,AR,リオル,201/172,1480,2025-04-24 01:17:03
s12a,AR,チルット,202/172,780,2025-04-24 01:17:07
s12a,AR,ヨマワル,203/172,1280,2025-04-24 01:17:11
s12a,AR,ビッパ,204/172,1280,2025-04-24 01:17:15
s12a,AR,ピカチュウ,205/172,19800,2025-04-24 01:17:50
s12a,AR,ナエトル,206/172,1280,2025-04-24 01:17:54
s12a,AR,パラス,207/172,780,2025-04-24 01:17:57
s12a,AR,ポチエナ,208/172,980,2025-04-24 01:18:01
s12a,AR,メリープ,209/172,1480,2025-04-24 01:18:05
s12a,SAR,リーフィアVSTAR,210/172,3480,2025-04-24 01:18:09
s12a,SAR,リザードンV,211/172,3480,2025-04-24 01:18:13
s12a,SAR,リザードンVSTAR,212/172,6980,2025-04-24 01:18:17
s12a,SAR,エンテイV,213/172,2480,2025-04-24 01:18:21
s12a,SAR,バオッキーVSTAR,214/172,1980,2025-04-24 01:18:25
s12a,SAR,スイクンV,215/172,3480,2025-04-24 01:18:28
s12a,SAR,ネオラントV,216/172,1280,2025-04-24 01:19:17
s12a,SAR,グレイシアVSTAR,217/172,3480,2025-04-24 01:19:21
s12a,SAR,ライコウV,218/172,2980,2025-04-24 01:19:26
s12a,SAR,ゼラオラVMAX,219/172,1480,2025-04-24 01:19:30
s12a,SAR,ゼラオラVSTAR,220/172,1280,2025-04-24 01:19:34
s12a,SAR,ミュウツーVSTAR,221/172,6980,2025-04-24 01:20:23
s12a,SAR,デオキシスVMAX,222/172,1480,2025-04-24 01:20:27
s12a,SAR,デオキシスVSTAR,223/172,1480,2025-04-24 01:20:31
s12a,SAR,ブリムオンVMAX,224/172,680,2025-04-24 01:21:13
s12a,SAR,ザシアンV,225/172,1480,2025-04-24 01:22:01
s12a,SAR,ルカリオVSTAR,226/172,1780,2025-04-24 01:22:05
s12a,SAR,ドラピオンV,227/172,500,2025-04-24 01:22:10
s12a,SAR,ダークライVSTAR,228/172,2480,2025-04-24 01:22:14
s12a,SAR,ヒスイダイケンキV,229/172,980,2025-04-24 01:22:17
s12a,SAR,ヒスイダイケンキVSTAR,230/172,680,2025-04-24 01:22:21
s12a,SAR,フーパV,231/172,580,2025-04-24 01:22:25
s12a,SAR,ザマゼンタV,232/172,980,2025-04-24 01:22:30
s12a,SAR,レジギガスVSTAR,233/172,980,2025-04-24 01:22:34
s12a,SAR,ヒスイゾロアークVSTAR,234/172,2480,2025-04-24 01:22:38
s12a,SAR,アクロマの実験,235/172,680,2025-04-24 01:22:43
s12a,SAR,カイ,236/172,5980,2025-04-24 01:22:47
s12a,SAR,キバナ,237/172,980,2025-04-24 01:22:52
s12a,SAR,ザクロ,238/172,680,2025-04-24 01:22:57
s12a,SAR,シロナの覇気,239/172,5980,2025-04-24 01:23:01
s12a,SAR,セキ,240/172,1280,2025-04-24 01:23:05
s12a,SAR,チェレンの気くばり,241/172,780,2025-04-24 01:23:09
s12a,SAR,ツツジ,242/172,1780,2025-04-24 01:23:13
s12a,SAR,ナタネの活気,243/172,1980,2025-04-24 01:23:18
s12a,SAR,メロン,244/172,1780,2025-04-24 01:23:22
s12a,SR,ウォロ,245/172,500,2025-04-24 01:23:26
s12a,SR,カミツレのきらめき,246/172,4980,2025-04-24 01:23:30
s12a,SR,シンオウの仲間たち,247/172,1480,2025-04-24 01:23:34
s12a,SR,博士の研究[ナナカマド博士],248/172,420,2025-04-24 01:23:38
s12a,SR,ヒスイの仲間たち,249/172,1480,2025-04-24 01:23:43
s12a,SR,ボスの指令[アカギ],250/172,1780,2025-04-24 01:23:47
s12a,SR,基本草エネルギー,251/172,320,2025-04-24 01:23:51
s12a,SR,基本炎エネルギー,252/172,420,2025-04-24 01:23:56
s12a,SR,基本水エネルギー,253/172,320,2025-04-24 01:23:59
s12a,SR,基本雷エネルギー,254/172,320,2025-04-24 01:24:35
s12a,SR,基本超エネルギー,255/172,420,2025-04-24 01:24:39
s12a,SR,基本闘エネルギー,256/172,220,2025-04-24 01:24:43
s12a,SR,基本悪エネルギー,257/172,500,2025-04-24 01:24:48
s12a,SR,基本鋼エネルギー,258/172,500,2025-04-24 01:24:54
s12a,UR,オリジンパルキアVSTAR,259/172,6980,2025-04-24 01:24:58
s12a,UR,オリジンディアルガVSTAR,260/172,7980,2025-04-24 01:25:02
s12a,UR,ギラティナVSTAR,261/172,19800,2025-04-24 01:25:06
s12a,UR,アルセウスVSTAR,262/172,9980,2025-04-24 01:25:55
sv01a,AR,トロピウス,074/073,220,2025-04-24 01:25:59
sv01a,AR,ニャオハ,075/073,880,2025-04-24 01:26:02
sv01a,AR,ニャローテ,076/073,500,2025-04-24 01:26:07
sv01a,AR,カエンジシ,077/073,320,2025-04-24 01:26:10
sv01a,AR,ホゲータ,078/073,880,2025-04-24 01:27:00
sv01a,AR,アチゲータ,079/073,420,2025-04-24 01:27:04
sv01a,AR,コイキング,080/073,9980,2025-04-24 01:27:08
sv01a,AR,クワッス,081/073,420,2025-04-24 01:27:12
sv01a,AR,ウェルカモ,082/073,320,2025-04-24 01:27:16
sv01a,AR,ムウマージ,083/073,580,2025-04-24 01:27:20
sv01a,AR,パルデアケンタロス,084/073,420,2025-04-24 01:27:24
sv01a,AR,パルデアウパー,085/073,420,2025-04-24 01:27:29
sv01a,SR,マスカーニャex,086/073,500,2025-04-24 01:27:33
sv01a,SR,ラウドボーンex,087/073,420,2025-04-24 01:27:37
sv01a,SR,ウェーニバルex,088/073,420,2025-04-24 01:27:40
sv01a,SR,デデンネex,089/073,680,2025-04-24 01:27:59
sv01a,SR,ルガルガンex,090/073,420,2025-04-24 01:28:03
sv01a,SR,パルデアドオーex,091/073,420,2025-04-24 01:28:07
sv01a,SR,キハダ,092/073,980,2025-04-24 01:28:11
sv01a,SR,クラベル,093/073,500,2025-04-24 01:28:15
sv01a,SR,ハヤト,094/073,500,2025-04-24 01:28:20
sv01a,SR,ボスの指令[ゲーチス],095/073,2480,2025-04-24 01:29:08
sv01a,SAR,マスカーニャex,096/073,6980,2025-04-24 01:29:13
sv01a,SAR,ラウドボーンex,097/073,3480,2025-04-24 01:29:17
sv01a,SAR,ウェーニバルex,098/073,2480,2025-04-24 01:29:21
sv01a,SAR,キハダ,099/073,12800,2025-04-24 01:29:26
sv01a,SAR,ボスの指令[ゲーチス],100/073,3480,2025-04-24 01:29:46
sv01a,UR,マスカーニャex,101/073,1480,2025-04-24 01:29:49
sv01a,UR,ラウドボーンex,102/073,980,2025-04-24 01:29:53
sv01a,UR,ウェーニバルex,103/073,980,2025-04-24 01:29:56
sv01s,AR,オリーニョ,079/078,220,2025-04-24 01:30:00
sv01s,AR,グレンアルマ,080/078,680,2025-04-24 01:30:04
sv01s,AR,ウミディグダ,081/078,320,2025-04-24 01:30:07
sv01s,AR,ヘイラッシャ,082/078,320,2025-04-24 01:30:12
sv01s,AR,ラルトス,083/078,980,2025-04-24 01:30:15
sv01s,AR,キルリア,084/078,980,2025-04-24 01:30:34
sv01s,AR,パピモッチ,085/078,420,2025-04-24 01:30:38
sv01s,AR,リオル,086/078,780,2025-04-24 01:30:42
sv01s,AR,メグロコ,087/078,220,2025-04-24 01:30:46
sv01s,AR,ガケガニ,088/078,220,2025-04-24 01:30:50
sv01s,AR,ドドゲザン,089/078,220,2025-04-24 01:30:54
sv01s,AR,ムックル,090/078,320,2025-04-24 01:31:00
sv01s,SR,ギャラドスex,091/078,980,2025-04-24 01:31:03
sv01s,SR,サーナイトex,092/078,980,2025-04-24 01:31:07
sv01s,SR,イダイナキバex,093/078,420,2025-04-24 01:31:55
sv01s,SR,コライドンex,094/078,420,2025-04-24 01:31:59
sv01s,SR,ドクロッグex,095/078,420,2025-04-24 01:32:04
sv01s,SR,パフュートンex,096/078,420,2025-04-24 01:32:07
sv01s,SR,ジニア,097/078,1480,2025-04-24 01:32:11
sv01s,SR,スター団のしたっぱ,098/078,420,2025-04-24 01:32:47
sv01s,SR,博士の研究[オーリム博士],099/078,1780,2025-04-24 01:32:52
sv01s,SR,ボタン,100/078,1480,2025-04-24 01:32:56
sv01s,SAR,サーナイトex,101/078,19800,2025-04-24 01:33:00
sv01s,SAR,イダイナキバex,102/078,1480,2025-04-24 01:33:04
sv01s,SAR,コライドンex,103/078,5980,2025-04-24 01:33:08
sv01s,SAR,ボタン,105/078,3480,2025-04-24 01:33:21
sv01s,UR,コライドンex,106/078,980,2025-04-24 01:33:26
sv01s,UR,ネストボール,107/078,8980,2025-04-24 01:33:30
sv01s,UR,基本闘エネルギー,108/078,1780,2025-04-24 01:33:35
sv01v,AR,タマンチュラ,079/078,220,2025-04-24 01:33:38
sv01v,AR,ノノクラゲ,080/078,220,2025-04-24 01:33:42
sv01v,AR,スコヴィラン,081/078,220,2025-04-24 01:34:30
sv01v,AR,ヤドン,082/078,780,2025-04-24 01:34:34
sv01v,AR,ウデッポウ,083/078,220,2025-04-24 01:34:37
