card_set,card_rarity,card_name,card_index,card_price,created_time
sv09a,AR,ヤンヤンマ,064/063,420,2025-03-22 04:42:51
sv09a,AR,シロナのロズレイド,065/063,1980,2025-03-22 04:42:55
sv09a,AR,シェイミ,066/063,1280,2025-03-22 04:42:59
sv09a,AR,イワパレス,067/063,500,2025-03-22 04:43:03
sv09a,AR,カミツオロチ,068/063,420,2025-03-22 04:43:07
sv09a,AR,ギャロップ,069/063,680,2025-03-22 04:43:12
sv09a,AR,ヒビキのバクフーン,070/063,2980,2025-03-22 04:43:16
sv09a,AR,カスミのコダック,071/063,3980,2025-03-22 04:43:21
sv09a,AR,カスミのラプラス,072/063,1980,2025-03-22 04:43:25
sv09a,AR,ラクライ,073/063,320,2025-03-22 04:43:29
sv09a,AR,ロトム,074/063,500,2025-03-22 04:43:33
sv09a,AR,ペパーのヨクバリス,075/063,580,2025-03-22 04:43:38
sv09a,SR,メガヤンマex,076/063,780,2025-03-22 04:43:43
sv09a,SR,ヒビキのホウオウex,077/063,1780,2025-03-22 04:43:46
sv09a,SR,ヘイラッシャex,078/063,500,2025-03-22 04:43:51
sv09a,SR,エレキブルex,079/063,500,2025-03-22 04:43:55
sv09a,SR,シロナのガブリアスex,080/063,2480,2025-03-22 04:44:00
sv09a,SR,ペパーのマフィティフex,081/063,680,2025-03-22 04:44:05
sv09a,SR,MCの盛り上げ,082/063,1780,2025-03-22 04:44:09
sv09a,SR,ジャッジマン,083/063,500,2025-03-22 04:44:14
sv09a,SR,ヒビキの冒険,084/063,1780,2025-03-22 04:44:19
sv09a,SAR,メガヤンマex,085/063,3980,2025-03-22 04:44:23
sv09a,SAR,ヒビキのホウオウex,086/063,24800,2025-03-22 04:44:27
sv09a,SAR,シロナのガブリアスex,087/063,39800,2025-03-22 04:44:31
sv09a,SAR,ペパーのマフィティフex,088/063,2480,2025-03-22 04:44:35
sv09a,SAR,ヒビキの冒険,089/063,12800,2025-03-22 04:44:40
sv09a,UR,ヒビキのホウオウex,090/063,5980,2025-03-22 04:44:44
sv09a,UR,シロナのガブリアスex,091/063,6980,2025-03-22 04:44:49
sv09a,UR,ハッコウシティ,092/063,2480,2025-03-22 04:44:54
sv02a,AR,フシギダネ,166/165,1280,2025-03-22 04:44:58
sv02a,AR,フシギソウ,167/165,980,2025-03-22 04:45:03
sv02a,AR,ヒトカゲ,168/165,1980,2025-03-22 04:45:07
sv02a,AR,リザード,169/165,980,2025-03-22 04:45:11
sv02a,AR,ゼニガメ,170/165,1280,2025-03-22 04:45:16
sv02a,AR,カメール,171/165,880,2025-03-22 04:45:19
sv02a,AR,キャタピー,172/165,420,2025-03-22 04:45:24
sv02a,AR,ピカチュウ,173/165,1780,2025-03-22 04:45:28
sv02a,AR,ニドキング,174/165,420,2025-03-22 04:45:33
sv02a,AR,コダック,175/165,780,2025-03-22 04:45:38
sv02a,AR,ニョロゾ,176/165,680,2025-03-22 04:45:42
sv02a,AR,ゴーリキー,177/165,420,2025-03-22 04:45:46
sv02a,AR,モンジャラ,178/165,420,2025-03-22 04:45:50
sv02a,AR,バリヤード,179/165,320,2025-03-22 04:45:54
sv02a,AR,オムナイト,180/165,320,2025-03-22 04:45:58
sv02a,AR,カビゴン,181/165,980,2025-03-22 04:46:03
sv02a,AR,ハクリュー,182/165,780,2025-03-22 04:46:07
sv02a,AR,ミュウツー,183/165,1480,2025-03-22 04:46:11
sv02a,SR,フシギバナex,184/165,980,2025-03-22 04:46:15
sv02a,SR,リザードンex,185/165,2980,2025-03-22 04:46:20
sv02a,SR,カメックスex,186/165,1280,2025-03-22 04:46:24
sv02a,SR,アーボックex,187/165,500,2025-03-22 04:46:28
sv02a,SR,キュウコンex,188/165,780,2025-03-22 04:46:32
sv02a,SR,プクリンex,189/165,500,2025-03-22 04:46:37
sv02a,SR,フーディンex,190/165,680,2025-03-22 04:46:41
sv02a,SR,ゴローニャex,191/165,580,2025-03-22 04:46:46
sv02a,SR,ガルーラex,192/165,500,2025-03-22 04:46:50
sv02a,SR,ルージュラex,193/165,500,2025-03-22 04:46:54
sv02a,SR,サンダーex,194/165,780,2025-03-22 04:46:58
sv02a,SR,ミュウex,195/165,1480,2025-03-22 04:47:02
sv02a,SR,エリカの招待,196/165,3980,2025-03-22 04:47:07
sv02a,SR,サカキのカリスマ,197/165,980,2025-03-22 04:47:12
sv02a,SR,ナナミの手助け,198/165,780,2025-03-22 04:47:17
sv02a,SR,マサキの転送,199/165,580,2025-03-22 04:47:21
sv02a,SAR,フシギバナex,200/165,8980,2025-03-22 04:47:25
sv02a,SAR,リザードンex,201/165,29800,2025-03-22 04:47:29
sv02a,SAR,カメックスex,202/165,8980,2025-03-22 04:47:33
sv02a,SAR,フーディンex,203/165,4980,2025-03-22 04:47:37
sv02a,SAR,サンダーex,204/165,8980,2025-03-22 04:47:42
sv02a,SAR,ミュウex,205/165,17800,2025-03-22 04:47:46
sv02a,SAR,エリカの招待,206/165,9980,2025-03-22 04:47:51
sv02a,SAR,サカキのカリスマ,207/165,3980,2025-03-22 04:47:56
sv02a,UR,ミュウex,208/165,2980,2025-03-22 04:48:01
sv02a,UR,ポケモンいれかえ,209/165,1780,2025-03-22 04:48:06
sv02a,UR,基本超エネルギー,210/165,1780,2025-03-22 04:48:11
