card_set,card_rarity,card_name,card_index,card_price,created_time
s12a,AR,ヒスイビリリダマ,173/172,220,2025-04-18 16:35:41
s12a,AR,コロトック,174/172,220,2025-04-18 16:35:45
s12a,AR,ブーバーン,175/172,320,2025-04-18 16:35:49
s12a,AR,オドリドリ,176/172,320,2025-04-18 16:35:53
s12a,AR,ラプラス,177/172,500,2025-04-18 16:35:57
s12a,AR,マナフィ,178/172,420,2025-04-18 16:36:01
s12a,AR,ケルディオ,179/172,420,2025-04-18 16:36:05
s12a,AR,エレキブル,180/172,320,2025-04-18 16:36:09
s12a,AR,ストリンダー,181/172,220,2025-04-18 16:36:12
s12a,AR,ガラルフリーザー,182/172,420,2025-04-18 16:36:17
s12a,AR,ミュウ,183/172,2480,2025-04-18 16:36:22
s12a,AR,ルナトーン,184/172,320,2025-04-18 16:36:27
s12a,AR,デオキシス,185/172,680,2025-04-18 16:36:30
s12a,AR,ディアンシー,186/172,320,2025-04-18 16:36:39
s12a,AR,キュワワー,187/172,220,2025-04-18 16:36:47
s12a,AR,ガラルサンダー,188/172,420,2025-04-18 16:36:54
s12a,AR,ソルロック,189/172,220,2025-04-18 16:36:58
s12a,AR,ガラルファイヤー,190/172,680,2025-04-18 16:37:03
s12a,AR,アブソル,191/172,420,2025-04-18 16:37:08
s12a,AR,フォクスライ,192/172,320,2025-04-18 16:37:16
s12a,AR,ジバコイル,193/172,320,2025-04-18 16:37:21
s12a,AR,チルタリス,194/172,320,2025-04-18 16:37:26
s12a,AR,ラティアス,195/172,780,2025-04-18 16:37:53
s12a,AR,ヒスイヌメルゴン,196/172,320,2025-04-18 16:37:57
s12a,AR,メタモン,197/172,320,2025-04-18 16:38:02
s12a,AR,ノコッチ,198/172,320,2025-04-18 16:38:08
s12a,AR,ミルタンク,199/172,320,2025-04-18 16:38:15
s12a,AR,ビーダル,200/172,320,2025-04-18 16:38:21
s12a,AR,リオル,201/172,1480,2025-04-18 16:38:27
s12a,AR,チルット,202/172,780,2025-04-18 16:38:33
s12a,AR,ヨマワル,203/172,1280,2025-04-18 16:38:38
s12a,AR,ビッパ,204/172,1280,2025-04-18 16:38:44
s12a,AR,ピカチュウ,205/172,19800,2025-04-18 16:38:48
s12a,AR,ナエトル,206/172,1280,2025-04-18 16:38:56
s12a,AR,パラス,207/172,780,2025-04-18 16:39:00
s12a,AR,ポチエナ,208/172,980,2025-04-18 16:39:05
s12a,AR,メリープ,209/172,1480,2025-04-18 16:39:08
s12a,SAR,リーフィアVSTAR,210/172,3480,2025-04-18 16:39:13
s12a,SAR,リザードンV,211/172,3480,2025-04-18 16:39:19
s12a,SAR,リザードンVSTAR,212/172,7980,2025-04-18 16:39:23
s12a,SAR,エンテイV,213/172,2480,2025-04-18 16:39:27
s12a,SAR,バオッキーVSTAR,214/172,1980,2025-04-18 16:39:31
s12a,SAR,スイクンV,215/172,3480,2025-04-18 16:39:35
s12a,SAR,ネオラントV,216/172,1280,2025-04-18 16:39:46
s12a,SAR,グレイシアVSTAR,217/172,3480,2025-04-18 16:39:53
s12a,SAR,ライコウV,218/172,2980,2025-04-18 16:39:58
s12a,SAR,ゼラオラVMAX,219/172,1480,2025-04-18 16:40:05
s12a,SAR,ゼラオラVSTAR,220/172,1280,2025-04-18 16:40:10
s12a,SAR,ミュウツーVSTAR,221/172,6980,2025-04-18 16:40:14
s12a,SAR,デオキシスVMAX,222/172,1480,2025-04-18 16:40:19
s12a,SAR,デオキシスVSTAR,223/172,1480,2025-04-18 16:40:25
s12a,SAR,ブリムオンVMAX,224/172,680,2025-04-18 16:40:30
s12a,SAR,ザシアンV,225/172,1480,2025-04-18 16:40:36
s12a,SAR,ルカリオVSTAR,226/172,1780,2025-04-18 16:40:40
s12a,SAR,ドラピオンV,227/172,500,2025-04-18 16:40:46
s12a,SAR,ダークライVSTAR,228/172,2480,2025-04-18 16:40:50
s12a,SAR,ヒスイダイケンキV,229/172,980,2025-04-18 16:40:53
s12a,SAR,ヒスイダイケンキVSTAR,230/172,680,2025-04-18 16:40:58
s12a,SAR,フーパV,231/172,580,2025-04-18 16:41:03
s12a,SAR,ザマゼンタV,232/172,980,2025-04-18 16:41:08
s12a,SAR,レジギガスVSTAR,233/172,980,2025-04-18 16:41:14
s12a,SAR,ヒスイゾロアークVSTAR,234/172,2480,2025-04-18 16:41:19
s12a,SAR,アクロマの実験,235/172,680,2025-04-18 16:41:24
s12a,SAR,カイ,236/172,5980,2025-04-18 16:41:27
s12a,SAR,キバナ,237/172,980,2025-04-18 16:41:32
s12a,SAR,ザクロ,238/172,680,2025-04-18 16:41:37
s12a,SAR,シロナの覇気,239/172,5980,2025-04-18 16:41:42
s12a,SAR,セキ,240/172,1280,2025-04-18 16:41:47
s12a,SAR,チェレンの気くばり,241/172,780,2025-04-18 16:41:52
s12a,SAR,ツツジ,242/172,1780,2025-04-18 16:41:58
s12a,SAR,ナタネの活気,243/172,1980,2025-04-18 16:42:02
s12a,SAR,メロン,244/172,1780,2025-04-18 16:42:06
s12a,SR,ウォロ,245/172,500,2025-04-18 16:42:11
s12a,SR,カミツレのきらめき,246/172,4980,2025-04-18 16:42:17
s12a,SR,シンオウの仲間たち,247/172,1480,2025-04-18 16:42:47
s12a,SR,博士の研究[ナナカマド博士],248/172,420,2025-04-18 16:42:53
s12a,SR,ヒスイの仲間たち,249/172,1480,2025-04-18 16:42:59
s12a,SR,ボスの指令[アカギ],250/172,1780,2025-04-18 16:43:04
s12a,SR,基本草エネルギー,251/172,320,2025-04-18 16:43:10
s12a,SR,基本炎エネルギー,252/172,420,2025-04-18 16:43:17
s12a,SR,基本水エネルギー,253/172,320,2025-04-18 16:43:23
s12a,SR,基本雷エネルギー,254/172,320,2025-04-18 16:43:29
s12a,SR,基本超エネルギー,255/172,420,2025-04-18 16:43:34
s12a,SR,基本闘エネルギー,256/172,220,2025-04-18 16:43:39
s12a,SR,基本悪エネルギー,257/172,500,2025-04-18 16:43:43
s12a,SR,基本鋼エネルギー,258/172,500,2025-04-18 16:43:48
s12a,UR,オリジンパルキアVSTAR,259/172,6980,2025-04-18 16:43:54
s12a,UR,オリジンディアルガVSTAR,260/172,7980,2025-04-18 16:43:58
s12a,UR,ギラティナVSTAR,261/172,19800,2025-04-18 16:44:02
s12a,UR,アルセウスVSTAR,262/172,9980,2025-04-18 16:44:06
sv01a,AR,トロピウス,074/073,320,2025-04-18 16:44:11
sv01a,AR,ニャオハ,075/073,780,2025-04-18 16:44:15
sv01a,AR,ニャローテ,076/073,500,2025-04-18 16:44:19
sv01a,AR,カエンジシ,077/073,320,2025-04-18 16:44:24
sv01a,AR,ホゲータ,078/073,880,2025-04-18 16:44:29
sv01a,AR,アチゲータ,079/073,420,2025-04-18 16:44:37
sv01a,AR,コイキング,080/073,9980,2025-04-18 16:44:41
sv01a,AR,クワッス,081/073,420,2025-04-18 16:44:46
sv01a,AR,ウェルカモ,082/073,420,2025-04-18 16:44:50
sv01a,AR,ムウマージ,083/073,680,2025-04-18 16:44:55
sv01a,AR,パルデアケンタロス,084/073,420,2025-04-18 16:45:00
sv01a,AR,パルデアウパー,085/073,420,2025-04-18 16:45:03
sv01a,SR,マスカーニャex,086/073,500,2025-04-18 16:45:08
sv01a,SR,ラウドボーンex,087/073,420,2025-04-18 16:45:12
sv01a,SR,ウェーニバルex,088/073,420,2025-04-18 16:45:16
sv01a,SR,デデンネex,089/073,680,2025-04-18 16:45:21
sv01a,SR,ルガルガンex,090/073,420,2025-04-18 16:45:26
sv01a,SR,パルデアドオーex,091/073,420,2025-04-18 16:45:30
sv01a,SR,キハダ,092/073,980,2025-04-18 16:45:35
sv01a,SR,クラベル,093/073,500,2025-04-18 16:45:39
sv01a,SR,ハヤト,094/073,500,2025-04-18 16:45:43
sv01a,SR,ボスの指令[ゲーチス],095/073,2480,2025-04-18 16:45:48
sv01a,SAR,マスカーニャex,096/073,6980,2025-04-18 16:45:53
sv01a,SAR,ラウドボーンex,097/073,3480,2025-04-18 16:45:58
sv01a,SAR,ウェーニバルex,098/073,2480,2025-04-18 16:46:02
sv01a,SAR,キハダ,099/073,12800,2025-04-18 16:46:06
sv01a,SAR,ボスの指令[ゲーチス],100/073,3480,2025-04-18 16:46:12
sv01a,UR,マスカーニャex,101/073,1480,2025-04-18 16:46:16
sv01a,UR,ラウドボーンex,102/073,980,2025-04-18 16:46:20
