card_set,card_rarity,card_name,card_index,card_price,created_time
s12a,AR,ヒスイビリリダマ,173/172,220,2025-03-23 21:21:37
s12a,AR,コロトック,174/172,220,2025-03-23 21:32:45
s12a,AR,ブーバーン,175/172,320,2025-03-23 21:29:08
s12a,AR,オドリドリ,176/172,320,2025-03-23 21:30:22
s12a,AR,ラプラス,177/172,500,2025-03-23 21:21:50
s12a,AR,マナフィ,178/172,320,2025-03-23 21:29:50
s12a,AR,ケルディオ,179/172,420,2025-03-23 21:36:43
s12a,AR,エレキブル,180/172,320,2025-03-23 21:21:25
s12a,AR,ストリンダー,181/172,220,2025-03-23 21:35:31
s12a,AR,ガラルフリーザー,182/172,320,2025-03-23 21:14:39
s12a,AR,ミュウ,183/172,2480,2025-03-23 21:28:06
s12a,AR,ルナトーン,184/172,320,2025-03-23 21:13:55
s12a,AR,デオキシス,185/172,680,2025-03-23 21:24:54
s12a,AR,ディアンシー,186/172,320,2025-03-23 21:25:08
s12a,AR,キュワワー,187/172,220,2025-03-23 21:38:59
s12a,AR,ガラルサンダー,188/172,420,2025-03-23 21:37:24
s12a,AR,ソルロック,189/172,220,2025-03-23 21:16:24
s12a,AR,ガラルファイヤー,190/172,680,2025-03-23 21:19:29
s12a,AR,アブソル,191/172,420,2025-03-23 21:26:26
s12a,AR,フォクスライ,192/172,320,2025-03-23 21:29:34
s12a,AR,ジバコイル,193/172,320,2025-03-23 21:13:45
s12a,AR,チルタリス,194/172,320,2025-03-23 21:34:59
s12a,AR,ラティアス,195/172,780,2025-03-23 21:28:24
s12a,AR,ヒスイヌメルゴン,196/172,320,2025-03-23 21:33:42
s12a,AR,メタモン,197/172,320,2025-03-23 21:18:37
s12a,AR,ノコッチ,198/172,320,2025-03-23 21:18:51
s12a,AR,ミルタンク,199/172,320,2025-03-23 21:15:39
s12a,AR,ビーダル,200/172,320,2025-03-23 21:20:51
s12a,AR,リオル,201/172,1280,2025-03-23 21:23:51
s12a,AR,チルット,202/172,780,2025-03-23 21:37:41
s12a,AR,ヨマワル,203/172,1280,2025-03-23 21:35:16
s12a,AR,ビッパ,204/172,1280,2025-03-23 21:27:01
s12a,AR,ピカチュウ,205/172,19800,2025-03-23 21:31:40
s12a,AR,ナエトル,206/172,1280,2025-03-23 21:19:06
s12a,AR,パラス,207/172,780,2025-03-23 21:16:09
s12a,AR,ポチエナ,208/172,780,2025-03-23 21:17:45
s12a,AR,メリープ,209/172,1480,2025-03-23 21:22:34
s12a,SAR,リーフィアVSTAR,210/172,3480,2025-03-23 21:03:30
s12a,SAR,リザードンV,211/172,3480,2025-03-23 20:58:17
s12a,SAR,リザードンVSTAR,212/172,6980,2025-03-23 20:47:53
s12a,SAR,エンテイV,213/172,2480,2025-03-23 20:17:14
s12a,SAR,バオッキーVSTAR,214/172,1980,2025-03-23 20:21:14
s12a,SAR,スイクンV,215/172,3480,2025-03-23 20:37:25
s12a,SAR,ネオラントV,216/172,1280,2025-03-23 20:43:46
s12a,SAR,グレイシアVSTAR,217/172,3480,2025-03-23 20:59:53
s12a,SAR,ライコウV,218/172,2980,2025-03-23 20:56:58
s12a,SAR,ゼラオラVMAX,219/172,1480,2025-03-23 20:18:13
s12a,SAR,ゼラオラVSTAR,220/172,1280,2025-03-23 20:52:48
s12a,SAR,ミュウツーVSTAR,221/172,6980,2025-03-23 20:19:24
s12a,SAR,デオキシスVMAX,222/172,1280,2025-03-23 20:54:39
s12a,SAR,デオキシスVSTAR,223/172,1480,2025-03-23 20:36:57
s12a,SAR,ブリムオンVMAX,224/172,680,2025-03-23 20:35:40
s12a,SAR,ザシアンV,225/172,1480,2025-03-23 21:00:12
s12a,SAR,ルカリオVSTAR,226/172,1780,2025-03-23 20:36:32
s12a,SAR,ドラピオンV,227/172,500,2025-03-23 20:20:45
s12a,SAR,ダークライVSTAR,228/172,2480,2025-03-23 20:21:19
s12a,SAR,ヒスイダイケンキV,229/172,980,2025-03-23 20:57:44
s12a,SAR,ヒスイダイケンキVSTAR,230/172,680,2025-03-23 20:41:31
s12a,SAR,フーパV,231/172,500,2025-03-23 20:44:07
s12a,SAR,ザマゼンタV,232/172,980,2025-03-23 20:49:58
s12a,SAR,レジギガスVSTAR,233/172,980,2025-03-23 20:23:18
s12a,SAR,ヒスイゾロアークVSTAR,234/172,1780,2025-03-23 20:40:09
s12a,SAR,アクロマの実験,235/172,680,2025-03-23 20:58:49
s12a,SAR,カイ,236/172,7980,2025-03-23 20:33:00
s12a,SAR,キバナ,237/172,1280,2025-03-23 21:00:43
s12a,SAR,ザクロ,238/172,780,2025-03-23 20:30:36
s12a,SAR,シロナの覇気,239/172,4980,2025-03-23 20:42:42
s12a,SAR,セキ,240/172,980,2025-03-23 20:59:13
s12a,SAR,チェレンの気くばり,241/172,680,2025-03-23 20:25:51
s12a,SAR,ツツジ,242/172,1480,2025-03-23 20:31:59
s12a,SAR,ナタネの活気,243/172,1980,2025-03-23 20:26:13
s12a,SAR,メロン,244/172,1480,2025-03-23 20:22:21
s12a,SR,ウォロ,245/172,500,2025-03-23 20:51:21
s12a,SR,カミツレのきらめき,246/172,5980,2025-03-23 20:35:57
s12a,SR,シンオウの仲間たち,247/172,1480,2025-03-23 20:38:32
s12a,SR,博士の研究[ナナカマド博士],248/172,420,2025-03-23 21:02:50
s12a,SR,ヒスイの仲間たち,249/172,1480,2025-03-23 20:35:01
s12a,SR,ボスの指令[アカギ],250/172,1780,2025-03-23 20:44:39
s12a,SR,基本草エネルギー,251/172,320,2025-03-23 20:56:49
s12a,SR,基本炎エネルギー,252/172,420,2025-03-23 20:40:19
s12a,SR,基本水エネルギー,253/172,320,2025-03-23 21:01:13
s12a,SR,基本雷エネルギー,254/172,320,2025-03-23 20:50:25
s12a,SR,基本超エネルギー,255/172,420,2025-03-23 20:33:46
s12a,SR,基本闘エネルギー,256/172,220,2025-03-23 20:16:31
s12a,SR,基本悪エネルギー,257/172,500,2025-03-23 20:24:12
s12a,SR,基本鋼エネルギー,258/172,500,2025-03-23 20:45:27
s12a,UR,オリジンパルキアVSTAR,259/172,6980,2025-03-23 20:42:25
s12a,UR,オリジンディアルガVSTAR,260/172,7980,2025-03-23 20:47:42
s12a,UR,ギラティナVSTAR,261/172,19800,2025-03-23 20:23:12
s12a,UR,アルセウスVSTAR,262/172,9980,2025-03-23 20:57:52
sv01a,AR,トロピウス,074/073,320,2025-03-23 21:27:06
sv01a,AR,ニャオハ,075/073,780,2025-03-23 21:26:22
sv01a,AR,ニャローテ,076/073,500,2025-03-23 21:31:28
sv01a,AR,カエンジシ,077/073,320,2025-03-23 21:17:35
sv01a,AR,ホゲータ,078/073,880,2025-03-23 21:33:25
sv01a,AR,アチゲータ,079/073,420,2025-03-23 21:16:51
sv01a,AR,コイキング,080/073,10800,2025-03-23 21:13:21
sv01a,AR,クワッス,081/073,420,2025-03-23 21:37:14
sv01a,AR,ウェルカモ,082/073,420,2025-03-23 21:20:15
sv01a,AR,ムウマージ,083/073,680,2025-03-23 21:13:26
sv01a,AR,パルデアケンタロス,084/073,320,2025-03-23 21:40:25
