card_set,card_rarity,card_name,card_index,card_price,created_time
s12a,AR,ヒスイビリリダマ,173/172,220,2025-04-04 02:13:48
s12a,AR,コロトック,174/172,220,2025-04-04 02:13:53
s12a,AR,ブーバーン,175/172,320,2025-04-04 02:13:57
s12a,AR,オドリドリ,176/172,320,2025-04-04 02:14:01
s12a,AR,ラプラス,177/172,500,2025-04-04 02:14:05
s12a,AR,マナフィ,178/172,420,2025-04-04 02:14:10
s12a,AR,ケルディオ,179/172,420,2025-04-04 02:14:14
s12a,AR,エレキブル,180/172,320,2025-04-04 02:14:19
s12a,AR,ストリンダー,181/172,220,2025-04-04 02:14:23
s12a,AR,ガラルフリーザー,182/172,420,2025-04-04 02:14:28
s12a,AR,ミュウ,183/172,2480,2025-04-04 02:14:32
s12a,AR,ルナトーン,184/172,320,2025-04-04 02:14:37
s12a,AR,デオキシス,185/172,680,2025-04-04 02:14:42
s12a,AR,ディアンシー,186/172,320,2025-04-04 02:14:46
s12a,AR,キュワワー,187/172,220,2025-04-04 02:14:51
s12a,AR,ガラルサンダー,188/172,420,2025-04-04 02:14:55
s12a,AR,ソルロック,189/172,220,2025-04-04 02:15:00
s12a,AR,ガラルファイヤー,190/172,680,2025-04-04 02:15:04
s12a,AR,アブソル,191/172,420,2025-04-04 02:15:10
s12a,AR,フォクスライ,192/172,320,2025-04-04 02:15:14
s12a,AR,ジバコイル,193/172,320,2025-04-04 02:15:19
s12a,AR,チルタリス,194/172,320,2025-04-04 02:15:23
s12a,AR,ラティアス,195/172,780,2025-04-04 02:15:28
s12a,AR,ヒスイヌメルゴン,196/172,320,2025-04-04 02:15:33
s12a,AR,メタモン,197/172,320,2025-04-04 02:15:37
s12a,AR,ノコッチ,198/172,320,2025-04-04 02:15:43
s12a,AR,ミルタンク,199/172,320,2025-04-04 02:15:48
s12a,AR,ビーダル,200/172,320,2025-04-04 02:15:52
s12a,AR,リオル,201/172,1480,2025-04-04 02:15:57
s12a,AR,チルット,202/172,780,2025-04-04 02:16:03
s12a,AR,ヨマワル,203/172,1280,2025-04-04 02:16:07
s12a,AR,ビッパ,204/172,1280,2025-04-04 02:16:12
s12a,AR,ピカチュウ,205/172,19800,2025-04-04 02:16:16
s12a,AR,ナエトル,206/172,1280,2025-04-04 02:16:21
s12a,AR,パラス,207/172,780,2025-04-04 02:16:25
s12a,AR,ポチエナ,208/172,980,2025-04-04 02:16:30
s12a,AR,メリープ,209/172,1480,2025-04-04 02:16:34
s12a,SAR,リーフィアVSTAR,210/172,3480,2025-04-04 02:16:39
s12a,SAR,リザードンV,211/172,3480,2025-04-04 02:16:43
s12a,SAR,リザードンVSTAR,212/172,7980,2025-04-04 02:16:47
s12a,SAR,エンテイV,213/172,2480,2025-04-04 02:16:52
s12a,SAR,バオッキーVSTAR,214/172,1980,2025-04-04 02:16:57
s12a,SAR,スイクンV,215/172,3480,2025-04-04 02:17:01
s12a,SAR,ネオラントV,216/172,1280,2025-04-04 02:17:06
s12a,SAR,グレイシアVSTAR,217/172,3480,2025-04-04 02:17:11
s12a,SAR,ライコウV,218/172,2980,2025-04-04 02:17:15
